NCBI accession number,species,genus,family,order,class,phylum,domain
NZ_AP014596.1,Streptococcus pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014358.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014356.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014536.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014474.1,Serratia rubidaea,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014327.1,Halocynthiibacter arcticus,Halocynthiibacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP007159.1,Bordetella holmesii,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP013667.1,Coxiella burnetii,Coxiella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP012911.1,Streptococcus suis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014538.1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014539.1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014540.1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014541.1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011539.1,Klebsiella aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014348.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014495.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014488.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014497.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
CP014492.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011391.1,Faecalibaculum rodentium,Faecalibaculum,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
NZ_CP014476.1,Methylomonas denitrificans,Methylomonas,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014241.1,Bifidobacterium angulatum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP014346.1,Mycoplasma mycoides,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NZ_CP014471.1,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_AP017313.1,Mucilaginibacter gotjawali,Mucilaginibacter,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria
NZ_CP014206.1,Pseudodesulfovibrio indicus,Pseudodesulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
NZ_CP014265.1,Methanobrevibacter olleyae,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea
NZ_CP005083.1,Sphingobium sp. TKS,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP005084.1,Sphingobium sp. TKS,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP005188.1,Sphingobium sp. MI1205,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP005189.1,Sphingobium sp. MI1205,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP014343.1,Pseudomonas putida,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014344.1,Campylobacter jejuni,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NZ_CP013932.1,Alteromonas sp. Mac1,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP013926.1,Alteromonas stellipolaris,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014322.1,Alteromonas addita,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014274.1,Stenotrophomonas sp. KCTC 12332,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014301.1,Bosea sp. PAMC 26642,Bosea,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP014304.1,Hymenobacter sp. PAMC 26628,Hymenobacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
NZ_CP014323.1,Alteromonas macleodii,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP013928.1,Alteromonas mediterranea,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CP013930.1,Alteromonas mediterranea,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CP013933.1,Alteromonas sp. Mac2,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_LN854556.1,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014223.1,Anaerotignum propionicum,Anaerotignum,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NZ_CP014279.1,Corynebacterium stationis,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP012960.1,Rhodobacter sphaeroides,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP012961.1,Rhodobacter sphaeroides,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_LT158599.1,Methanoculleus sp. MAB1,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea
NZ_CP014214.1,methanogenic archaeon ISO4-H5,NA,NA,NA,Thermoplasmata,Euryarchaeota,Archaea
NZ_CP014326.1,Streptococcus mitis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP012199.1,Sphingopyxis granuli,Sphingopyxis,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP014067.2,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014034.2,Vibrio fluvialis,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014035.2,Vibrio fluvialis,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014042.2,Vibrio mimicus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014043.2,Vibrio mimicus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014056.2,Grimontia hollisae,Grimontia,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014055.2,Grimontia hollisae,Grimontia,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014030.2,Citrobacter sp. FDAARGOS_156,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014016.2,Staphylococcus simulans,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014031.2,Hafnia paralvei,Hafnia,Hafniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014038.2,Vibrio harveyi,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014039.2,Vibrio harveyi,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014070.2,Citrobacter amalonaticus,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014022.1,Staphylococcus lugdunensis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014113.2,Staphylococcus saprophyticus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014017.2,Serratia liquefaciens,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014026.2,Morganella morganii,Morganella,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
CP014015.2,Citrobacter amalonaticus,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014129.2,Pantoea vagans,Pantoea,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014313.1,Microbacterium sp. PAMC 28756,Microbacterium,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
CP014013.2,Bordetella bronchiseptica,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
CP014065.2,Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP013237.1,Streptococcus mutans,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014028.1,Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP014048.2,Vibrio vulnificus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014049.2,Vibrio vulnificus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014046.2,Vibrio parahaemolyticus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014047.2,Vibrio parahaemolyticus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014267.1,Mycoplasma pneumoniae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NZ_CP014064.2,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014314.1,NA,NA,NA,NA,NA,NA,NA
NZ_CP014268.2,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014269.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014270.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014272.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014051.2,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
CP014153.2,Bordetella pertussis,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
CP014099.2,Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014306.1,Burkholderia sp. PAMC 26561,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP014307.1,Burkholderia sp. PAMC 26561,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP014227.1,Capnocytophaga haemolytica,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP014228.1,Actinomyces radicidentis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP014229.1,Desulfovibrio fairfieldensis,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
NZ_CP014230.1,Desulfomicrobium orale,Desulfomicrobium,Desulfomicrobiaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
NZ_CP014233.1,Gemella sp. oral taxon 928,Gemella,NA,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014232.1,Actinomyces oris,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP014234.1,Moraxella osloensis,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014239.1,Selenomonas sp. oral taxon 136,Selenomonas,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
NZ_CP014231.1,NA,NA,NA,NA,NA,NA,NA
NZ_CP014264.1,Streptococcus sp. oral taxon 431,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP011260.1,Mycoplasma mycoides,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NZ_CP011261.1,Mycoplasma mycoides,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NZ_CP011264.1,Mycoplasma mycoides,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NZ_CP013950.1,Bacillus sp. SDLI1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
CP011262.1,Mycoplasma mycoides,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
CP011263.1,Mycoplasma mycoides,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NZ_CP014281.1,Mycoplasma canis,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NZ_CP014259.1,Agrobacterium tumefaciens,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP014260.1,Agrobacterium tumefaciens,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP007158.1,Bordetella holmesii,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_CP014261.1,Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_AP014936.1,Sulfurifustis variabilis,Sulfurifustis,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
CP010514.1,Candidatus Nanopusillus acidilobi,Candidatus Nanopusillus,Nanopusillaceae,Nanoarchaeales,NA,Nanoarchaeota,Archaea
NZ_CP010834.1,Methanobrevibacter sp. YE315,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea
NZ_CP012480.1,Streptococcus agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014252.1,Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014250.1,Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013213.1,Erysipelothrix larvae,Erysipelothrix,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
NZ_CP014226.1,Halomonas chromatireducens,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014222.1,Janthinobacterium sp. B9-8,Janthinobacterium,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
CP010333.1,Mycobacterium microti,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
CP010334.1,Mycobacterium africanum,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP010330.1,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP010337.1,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP014215.1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP010339.1,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_LN999844.1,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
CP010331.1,Mycobacterium bovis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
CP010332.1,Mycobacterium bovis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP014225.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
CP010329.1,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
CP010335.1,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
CP010336.1,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
CP010338.1,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
CP010340.1,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP014159.1,Aerococcus christensenii,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014160.1,Aerococcus sanguinicola,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014161.1,Aerococcus urinae,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014163.1,Aerococcus urinaehominis,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013861.1,Pseudomonas fragi,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014164.1,Aerococcus viridans,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013355.1,Lutibacter profundi,Lutibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP013476.1,Turicibacter sp. H121,Turicibacter,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria
NZ_CP010522.1,Liberibacter crescens,Liberibacter,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP014162.1,Aerococcus urinaeequi,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014207.1,Pantoea ananatis,Pantoea,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014144.1,Streptococcus salivarius,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014179.1,Bacillus anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_LT009690.1,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014145.1,Microterricola viridarii,Microterricola,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NZ_AP017367.1,Leptolyngbya sp. O-77,Leptolyngbya,Leptolyngbyaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NZ_CP006992.1,Methylobacterium sp. AMS5,Methylobacterium,Methylobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP008872.2,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP008873.1,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CP014197.1,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014196.1,Arthrobacter sp. ATCC 21022,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NZ_AP014881.1,Acetobacter pasteurianus,Acetobacter,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP014166.1,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013920.1,Candidatus Arsenophonus lipoptenae,Arsenophonus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP013997.1,Pseudomonas monteilii,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP013217.1,Kurthia sp. 11kri321,Kurthia,Planococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014141.1,Thermus parvatiensis,Thermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,Bacteria
NZ_CP014140.1,Aneurinibacillus sp. XH2,Aneurinibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013992.1,Flavobacterium columnare,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NZ_CP013949.1,Bradyrhizobium sp. CCGE-LA001,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NZ_CP013975.1,Piscirickettsia salmonis,Piscirickettsia,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP013993.1,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP013984.1,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014139.1,Streptococcus pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
CP014138.1,Streptococcus pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP014010.1,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP014008.1,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_LN999997.1,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011863.1,Enterobacter asburiae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_LN999829.1,Bacillus velezensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013998.1,Synechococcus sp. PCC 73109,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NZ_CP014004.1,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP013988.1,Aerococcus urinaeequi,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013987.1,Pseudomonas oryzihabitans,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP013990.1,Leclercia adecarboxylata,Leclercia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_LN890331.1,Leuconostoc gelidum,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013994.1,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013991.1,Corynebacterium glutamicum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP013965.1,Aeromonas hydrophila,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP012947.1,Xanthomonas oryzae,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP011145.1,Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_CP013989.1,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
CP010829.1,Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_AP017320.1,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NZ_AP017315.1,Microcella alkaliphila,Microcella,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NZ_CP008865.2,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP008866.2,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP008867.1,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_CP008868.1,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NZ_LN997846.1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
